Date,Open,Close
2004-08-19,2.4854,2.4938
2004-08-20,2.5105,2.6919
2004-08-23,2.7525,2.719
2004-08-24,2.7647,2.6064
2004-08-25,2.6086,2.6345
2004-08-26,2.6084,2.682
2004-08-27,2.6867,2.6382
2004-08-30,2.6166,2.5353
2004-08-31,2.5425,2.5443
2004-09-01,2.5525,2.4916
2004-09-02,2.4652,2.5229
2004-09-03,2.509,2.4856
2004-09-07,2.5105,2.5246
2004-09-08,2.5038,2.5425
2004-09-09,2.5482,2.5428
2004-09-10,2.5251,2.6178
2004-09-13,2.6501,2.6718
2004-09-14,2.6705,2.7709
2004-09-15,2.7478,2.7836
2004-09-16,2.7921,2.8326
2004-09-17,2.8437,2.9201
2004-09-20,2.9066,2.9665
2004-09-21,2.9777,2.9287
2004-09-22,2.9178,2.9422
2004-09-23,2.9536,3.0028
2004-09-24,3.0058,2.9782
2004-09-27,2.9715,2.9392
2004-09-28,3.0147,3.1529
2004-09-29,3.149,3.2578
2004-09-30,3.2285,3.221
2004-10-01,3.2509,3.2951
2004-10-04,3.3615,3.3567
2004-10-05,3.3468,3.439
2004-10-06,3.4186,3.4069
2004-10-07,3.403,3.4509
2004-10-08,3.4477,3.4231
2004-10-11,3.4049,3.3617
2004-10-12,3.3413,3.4149
2004-10-13,3.562,3.5019
2004-10-14,3.5046,3.5292
2004-10-15,3.602,3.5817
2004-10-18,3.559,3.7072
2004-10-19,3.7405,3.6768
2004-10-20,3.6791,3.4917
2004-10-21,3.5889,3.7126
2004-10-22,4.2385,4.2855
2004-10-25,4.3842,4.6576
2004-10-26,4.6312,4.5184
2004-10-27,4.5413,4.622
2004-10-28,4.6397,4.8042
2004-10-29,4.9431,4.7381
2004-11-01,4.8104,4.8721
2004-11-02,4.9404,4.8432
2004-11-03,4.9255,4.7637
2004-11-04,4.6834,4.5905
2004-11-05,4.5229,4.209
2004-11-08,4.2482,4.2885
2004-11-09,4.327,4.1928
2004-11-10,4.2418,4.1719
2004-11-11,4.2035,4.5487
2004-11-12,4.6036,4.5234
2004-11-15,4.4848,4.5947
2004-11-16,4.4115,4.2882
2004-11-17,4.2008,4.2872
2004-11-18,4.2323,4.164
2004-11-19,4.2027,4.2102
2004-11-22,4.0877,4.1033
2004-11-23,4.1747,4.1635
2004-11-24,4.3449,4.3434
2004-11-26,4.3693,4.4585
2004-11-29,4.4826,4.4997
2004-11-30,4.4913,4.5229
2004-12-01,4.5221,4.4727
2004-12-02,4.4712,4.4587
2004-12-03,4.4724,4.4836
2004-12-06,4.452,4.3814
2004-12-07,4.3742,4.2607
2004-12-08,4.2338,4.2246
2004-12-09,4.2313,4.3104
2004-12-10,4.3104,4.2661
2004-12-13,4.279,4.2363
2004-12-14,4.25,4.4411
2004-12-15,4.4237,4.4682
