Date,Open,Close
1980-12-12,0.0985,0.0985
1980-12-15,0.0938,0.0933
1980-12-16,0.0869,0.0865
1980-12-17,0.0886,0.0886
1980-12-18,0.0912,0.0912
1980-12-19,0.0968,0.0968
1980-12-22,0.1015,0.1015
1980-12-23,0.1058,0.1058
1980-12-24,0.1113,0.1113
1980-12-26,0.1216,0.1216
1980-12-29,0.1233,0.1233
1980-12-30,0.1208,0.1203
1980-12-31,0.1173,0.1169
1981-01-02,0.1182,0.1182
1981-01-05,0.116,0.1156
1981-01-06,0.1109,0.1105
1981-01-07,0.1062,0.1058
1981-01-08,0.1041,0.1036
1981-01-09,0.1092,0.1092
1981-01-12,0.1092,0.1083
1981-01-13,0.1049,0.1045
1981-01-14,0.1049,0.1049
1981-01-15,0.107,0.107
1981-01-16,0.1066,0.1062
1981-01-19,0.1126,0.1126
1981-01-20,0.1096,0.1092
1981-01-21,0.1113,0.1113
1981-01-22,0.1126,0.1126
1981-01-23,0.1126,0.1122
1981-01-26,0.1109,0.1105
1981-01-27,0.1105,0.1096
1981-01-28,0.1066,0.1062
1981-01-29,0.1028,0.1023
1981-01-30,0.0976,0.0968
1981-02-02,0.0916,0.0912
1981-02-03,0.0946,0.0946
1981-02-04,0.0981,0.0981
1981-02-05,0.0981,0.0981
1981-02-06,0.0985,0.0985
1981-02-09,0.0942,0.0933
1981-02-10,0.0933,0.0933
1981-02-11,0.0908,0.0903
1981-02-12,0.0899,0.0895
1981-02-13,0.0882,0.0874
1981-02-17,0.0895,0.0895
1981-02-18,0.0933,0.0933
1981-02-19,0.0882,0.0878
1981-02-20,0.0835,0.0831
1981-02-23,0.0844,0.0844
1981-02-24,0.0822,0.0814
1981-02-25,0.0865,0.0865
1981-02-26,0.0878,0.0878
1981-02-27,0.0908,0.0908
1981-03-02,0.0912,0.0912
1981-03-03,0.0903,0.0899
1981-03-04,0.0895,0.0891
1981-03-05,0.0891,0.0886
1981-03-06,0.0886,0.0878
1981-03-09,0.0814,0.0809
1981-03-10,0.0775,0.0771
1981-03-11,0.0749,0.0741
1981-03-12,0.0771,0.0771
1981-03-13,0.0766,0.0762
1981-03-16,0.0792,0.0792
1981-03-17,0.0831,0.0831
1981-03-18,0.0882,0.0882
1981-03-19,0.0878,0.0874
1981-03-20,0.0882,0.0882
1981-03-23,0.0916,0.0916
1981-03-24,0.0916,0.0912
1981-03-25,0.0903,0.0895
1981-03-26,0.0882,0.0878
1981-03-27,0.0852,0.0848
1981-03-30,0.0848,0.0848
1981-03-31,0.0848,0.0839
1981-04-01,0.0835,0.0831
1981-04-02,0.0903,0.0903
1981-04-03,0.0908,0.0908
1981-04-06,0.0895,0.0891
1981-04-07,0.0886,0.0882
1981-04-08,0.0925,0.0925
1981-04-09,0.0942,0.0942
1981-04-10,0.0955,0.0955
1981-04-13,0.0955,0.0955
1981-04-14,0.0955,0.0955
1981-04-15,0.0912,0.0908
1981-04-16,0.0861,0.0856
1981-04-20,0.0882,0.0882
1981-04-21,0.0942,0.0942
1981-04-22,0.0976,0.0976
1981-04-23,0.1002,0.1002
1981-04-24,0.1002,0.0993
1981-04-27,0.0989,0.0985
1981-04-28,0.0972,0.0968
1981-04-29,0.0959,0.0955
1981-04-30,0.0972,0.0972
1981-05-01,0.0972,0.0972
1981-05-04,0.0972,0.0968
1981-05-05,0.0968,0.0963
1981-05-06,0.0942,0.0938
1981-05-07,0.0951,0.0951
1981-05-08,0.0959,0.0959
1981-05-11,0.0942,0.0938
1981-05-12,0.0938,0.0938
1981-05-13,0.0938,0.0933
1981-05-14,0.0929,0.0921
1981-05-15,0.0942,0.0942
1981-05-18,0.0959,0.0959
1981-05-19,0.0946,0.0942
1981-05-20,0.0972,0.0972
1981-05-21,0.1028,0.1028
1981-05-22,0.1075,0.1075
1981-05-26,0.1075,0.107
1981-05-27,0.113,0.113
1981-05-28,0.113,0.113
1981-05-29,0.1135,0.1135
1981-06-01,0.1135,0.1135
1981-06-02,0.1083,0.1079
1981-06-03,0.1079,0.1079
1981-06-04,0.11,0.11
1981-06-05,0.1088,0.1083
1981-06-08,0.1049,0.1045
1981-06-09,0.1066,0.1066
1981-06-10,0.1079,0.1079
1981-06-11,0.1126,0.1126
1981-06-12,0.1118,0.1113
1981-06-15,0.1113,0.1109
1981-06-16,0.1092,0.1088
1981-06-17,0.1075,0.107
1981-06-18,0.107,0.1066
1981-06-19,0.1041,0.1036
1981-06-22,0.1002,0.0998
1981-06-23,0.1015,0.1015
1981-06-24,0.0998,0.0989
1981-06-25,0.1011,0.1011
1981-06-26,0.1006,0.0998
1981-06-29,0.0972,0.0963
1981-06-30,0.0895,0.0891
1981-07-01,0.0886,0.0882
1981-07-02,0.0882,0.0882
1981-07-06,0.0861,0.0852
1981-07-07,0.0861,0.0861
1981-07-08,0.0895,0.0895
1981-07-09,0.0831,0.0826
1981-07-10,0.0766,0.0762
1981-07-13,0.0779,0.0779
1981-07-14,0.0814,0.0814
1981-07-15,0.0835,0.0835
1981-07-16,0.0856,0.0856
1981-07-17,0.0886,0.0886
1981-07-20,0.0831,0.0826
1981-07-21,0.0826,0.0822
1981-07-22,0.0784,0.0775
1981-07-23,0.0796,0.0796
1981-07-24,0.0822,0.0822
1981-07-27,0.0856,0.0856
1981-07-28,0.0831,0.0826
1981-07-29,0.0818,0.0814
1981-07-30,0.0844,0.0844
1981-07-31,0.0856,0.0856
1981-08-03,0.0856,0.0848
1981-08-04,0.0861,0.0861
1981-08-05,0.0886,0.0886
1981-08-06,0.0869,0.0865
1981-08-07,0.0865,0.0865
1981-08-10,0.0865,0.0865
1981-08-11,0.0848,0.0839
1981-08-12,0.0826,0.0822
1981-08-13,0.0801,0.0796
1981-08-14,0.0792,0.0784
1981-08-17,0.0766,0.0758
1981-08-18,0.0749,0.0741
1981-08-19,0.0741,0.0732
1981-08-20,0.0741,0.0741
1981-08-21,0.0698,0.0689
1981-08-24,0.0651,0.0647
1981-08-25,0.0664,0.0664
1981-08-26,0.0655,0.0651
1981-08-27,0.0655,0.0655
1981-08-28,0.0689,0.0689
1981-08-31,0.0689,0.0689
1981-09-01,0.0732,0.0732
1981-09-02,0.0745,0.0745
1981-09-03,0.0715,0.0707
1981-09-04,0.0702,0.0698
1981-09-08,0.0681,0.0677
1981-09-09,0.0677,0.0677
1981-09-10,0.0681,0.0681
1981-09-11,0.0677,0.0672
1981-09-14,0.0655,0.0651
1981-09-15,0.0638,0.0634
1981-09-16,0.0625,0.0621
1981-09-17,0.0608,0.0604
1981-09-18,0.0608,0.0608
1981-09-21,0.0612,0.0612
1981-09-22,0.0582,0.0578
